rounds,condition,investment,investment x 3,% returned,amount returned,PPT round profit,RA round profit,PPT block total profit,RA block total profit,date,time,P_id,RA_id
1,1,2,6,0.4746578730914212,3,,3,0,3,02/06/2020,12:35:01 AM,JASON,JASON
2,1,3,9,0.4746578730914212,4,11,5,11,8,02/06/2020,12:35:01 AM,JASON,JASON
3,1,4,12,0.4746578730914212,6,12,6,23,14,02/06/2020,12:35:01 AM,JASON,JASON
4,1,1,3,0.4746578730914212,1,10,2,33,16,02/06/2020,12:35:01 AM,JASON,JASON
5,1,0,0,0.4746578730914212,0,10,0,43,16,02/06/2020,12:35:01 AM,JASON,JASON
6,1,5,15,0.4746578730914212,7,12,8,55,24,02/06/2020,12:35:01 AM,JASON,JASON
7,1,6,18,0.4746578730914212,9,13,9,68,33,02/06/2020,12:35:01 AM,JASON,JASON
8,1,9,27,0.4746578730914212,13,14,14,82,47,02/06/2020,12:35:01 AM,JASON,JASON
9,1,10,30,0.4746578730914212,14,14,16,96,63,02/06/2020,12:35:01 AM,JASON,JASON
10,1,8,24,0.4746578730914212,11,13,13,109,76,02/06/2020,12:35:01 AM,JASON,JASON
11,1,6,18,0.4746578730914212,9,13,9,13,9,02/06/2020,12:35:01 AM,JASON,JASON
12,1,7,21,0.4746578730914212,10,13,11,26,20,02/06/2020,12:35:01 AM,JASON,JASON
13,1,5,15,0.6694198973420693,10,15,5,41,25,02/06/2020,12:35:01 AM,JASON,JASON
14,1,1,3,0.6694198973420693,2,11,1,52,26,02/06/2020,12:35:01 AM,JASON,JASON
15,1,2,6,0.6694198973420693,4,12,2,64,28,02/06/2020,12:35:01 AM,JASON,JASON
16,1,3,9,0.6694198973420693,6,13,3,77,31,02/06/2020,12:35:01 AM,JASON,JASON
17,1,4,12,0.6694198973420693,8,14,4,91,35,02/06/2020,12:35:01 AM,JASON,JASON
18,1,5,15,0.6694198973420693,10,15,5,106,40,02/06/2020,12:35:01 AM,JASON,JASON
19,1,6,18,0.6694198973420693,12,16,6,122,46,02/06/2020,12:35:01 AM,JASON,JASON
20,1,7,21,0.6694198973420693,14,17,7,139,53,02/06/2020,12:35:01 AM,JASON,JASON
21,1,8,24,0.6694198973420693,16,18,8,18,8,02/06/2020,12:35:01 AM,JASON,JASON
22,1,9,27,0.6694198973420693,18,19,9,37,17,02/06/2020,12:35:01 AM,JASON,JASON
23,1,10,30,0.6694198973420693,20,20,10,57,27,02/06/2020,12:35:01 AM,JASON,JASON
24,1,5,15,0.6694198973420693,10,15,5,72,32,02/06/2020,12:35:01 AM,JASON,JASON
25,1,0,0,0.7622013339847162,0,10,0,82,32,02/06/2020,12:35:01 AM,JASON,JASON
26,1,1,3,0.7622013339847162,2,11,1,93,33,02/06/2020,12:35:01 AM,JASON,JASON
27,1,3,9,0.7622013339847162,7,14,2,107,35,02/06/2020,12:35:01 AM,JASON,JASON
28,1,4,12,0.7622013339847162,9,15,3,122,38,02/06/2020,12:35:01 AM,JASON,JASON
29,1,5,15,0.7622013339847162,11,16,4,138,42,02/06/2020,12:35:01 AM,JASON,JASON
30,1,6,18,0.7622013339847162,14,18,4,156,46,02/06/2020,12:35:01 AM,JASON,JASON
31,1,7,21,0.7622013339847162,16,19,5,19,5,02/06/2020,12:35:01 AM,JASON,JASON
32,1,8,24,0.7622013339847162,18,20,6,39,11,02/06/2020,12:35:01 AM,JASON,JASON
33,1,9,27,0.7622013339847162,21,22,6,61,17,02/06/2020,12:35:01 AM,JASON,JASON
34,1,10,30,0.7622013339847162,23,23,7,84,24,02/06/2020,12:35:01 AM,JASON,JASON
35,1,2,6,0.7622013339847162,5,13,1,97,25,02/06/2020,12:35:01 AM,JASON,JASON
36,1,0,0,0,0,10,0,107,25,02/06/2020,12:35:01 AM,JASON,JASON
37,1,0,0,0,0,10,0,117,25,02/06/2020,12:35:01 AM,JASON,JASON
38,1,0,0,0,0,10,0,127,25,02/06/2020,12:35:01 AM,JASON,JASON
39,1,0,0,0,0,10,0,137,25,02/06/2020,12:35:01 AM,JASON,JASON
40,1,0,0,0,0,10,0,147,25,02/06/2020,12:35:01 AM,JASON,JASON
